"business_status";"lat";"lng";"icon";"name";"place_id";"price_level";"photo_reference";"rating";"place_types";"user_ratings_total";"address"
"OPERATIONAL";18.4669539;-66.0889287;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png";"Escambrón Beach Club";"ChIJtQtNm0lvA4wR6FECyE7H994";0.0;"ATtYBwLwdqJSwgwTaOtORFMa4gcpiai-FPftJLFNaENJh0-eB8aux-jYpsWpwc_0ef5v-ltvMTZ-v-e3mFYK2rZF6nO3ouwTNxKQ8yEB0cvnkRIBWt0CR71G168szaewrYJXmQ1ktZ7qOL72H5jpmzqmN2YFkZcIXxytjPR90FzdB5mCj9ey";4.5;"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']";90;"Parque del Tercer Milenio, Calle San Agustín, San Juan"
"OPERATIONAL";18.4654058;-66.1170037;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Wendy's Old San Juan";"ChIJE7MbRcduA4wRa8RY3DmYjxE";1.0;"ATtYBwJiDYG1EqfylTMiWqdPUHPWGoj2pvw_72aO8fZ13f2Yv0ppakm-wSRjiqTTU7TC--tVcQENT6HjtST7MI99sY5Gtjuau6TF6_q4evhIp0LluNzYJ589zfz6aOfAYtOqPKR9FPd2lhIgqkRcyHSkjL1h7cT4z7SytojU9gbyyQ_ejFPl";4.2;"['restaurant', 'food', 'point_of_interest', 'establishment']";495;"Calle de San Francisco, San Juan"
"OPERATIONAL";18.464502;-66.1171904;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Barrachina";"ChIJt2zuY8duA4wR56__Tgqqm0M";2.0;"ATtYBwJcHM_UKo5iMeFZgYDbP-5PwW0aLTyNnt_NZe4yshEUYZHwINxcA7NDdMWpL5Tvko8F0XJ1fy_1zaDJcEpkrVEwnY24UcLGpIyX4WRr8z6BuUUqGA8JjZPKGCzJQFoWn1PdNyuWRVEge2ljkk5Dcu5AVj9e5YZetL2pkZJGfpFJutrH";4.3;"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']";3504;"104 Calle de la Fortaleza, San Juan"
"OPERATIONAL";18.4506271;-66.0702945;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Restaurant El Popular";"ChIJjT0tITZvA4wRiSERVk69xxs";1.0;"ATtYBwIunZcphdhzr2kKIjacShqs4OJ-TWGSFvcNfMMQfFY_7QGphtxb3bFKrhJ6s8g0VHoRY4ysswRa7ZS46jChj9annuWSp5Bahjcepmxf8xtA6SME5GFl2J29XbhtdruYKnGgP7EBmw2o748eFLZKvZHVCorYUufts7ITaFYnvUahUvOj";4.4;"['restaurant', 'food', 'point_of_interest', 'establishment']";133;"250 Calle Jose M. Rafucci Morales, San Juan"
"OPERATIONAL";18.4486709;-66.06180379999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"La Boulangerie";"ChIJqTn_hU5vA4wRKXpLMG0yK6E";2.0;"ATtYBwL34taLUSBHEZ2P-Z-qwFSZDD4B1n5d1uVUIkWWip1QDXUcE-3S-XPTUFJwAtPY9JtG0itxzJTEh19KcqAx6-oFJyvGsdUx8fQO9WZiiG1w29T0Aj-LPztrXoD3E1FbU7izmeZBLwZR56YtJtN8QoCM2q3RUZ31_lWKXXO6VVkMI_sg";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";515;"174 Calle Taft, San Juan"
"OPERATIONAL";18.4544265;-66.06669889999999;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Restaurant Antonio";"ChIJrYTGLEZvA4wRtT1anPWMkak";3.0;"ATtYBwIpRYnHJ7o7V4UtE0MEK3vcqOO5mWLRa2-f8W3Os9csCEL3OLHD6uOJAif52StZSuF2BQioHS5Wox3T-ARmidiJ-IFtYBOSc_OVNuZ_CTvHpbjvo-SJPIVdumQoGOYYSwv07ze9kzja_GZvZSNqnRhQvfQwU8YdX0PC0wrIuLr6EGKC";4.5;"['restaurant', 'food', 'point_of_interest', 'establishment']";405;"1406 Avenida Magdalena, San Juan"
"OPERATIONAL";18.4644444;-66.1069444;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Melao Bistro";"ChIJHT3lytxuA4wR9SL-VW8hXFk";2.0;"ATtYBwIao7XFngaiqGkd6yRMPCgxwQEh1oQrAPtWHqrGohrdRyecy75ectrRvaJfam2Dswlw2ccY9Vfcd3Q-phf-GjeKGkjFCFumRufSe4l_zlCkjBeJ-jvhaj0RDzDN827A9FAHR9pc_ft04gzZVlPUZKMkpYCsjX5Y36G5WpxIOGIfGpFA";4.7;"['restaurant', 'food', 'point_of_interest', 'establishment']";113;"Cond. Capitolio Plaza, Calle Marina Ste. 201, San Juan"
"CLOSED_TEMPORARILY";18.4414033;-66.1198078;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Subway";"ChIJn5sCTUhpA4wRgpztwZTLN-A";1.0;"ATtYBwJ8eBK7TRmgZgrAuX4z3Z4j6bhwv_WKvzrDf6THy7ofLEn1Ljv98Ez19g2D6eOsxw0zmXWVpA5Y0XY3nw0BRBbZHwGrSP1JqVSThL_QIJiNzILKRNDlD3rIgHBJEioT-rMN_l4-qvmiVOPoqwT85thp6nFUe8j_pOHrfhxLswt1lprc";4.0;"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']";10;"#76 Avenida Las Nereidas, Catano"
"OPERATIONAL";18.4600051;-66.0785568;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Subway";"ChIJoVKQviRvA4wRtaivAcyHqB0";1.0;"ATtYBwJ0z7G9PuM8uxQp0AJ2JcVGoaM_v3TFABboRkvvLGcWDbV4R0R9KGKQj02c4Bqqu_kc9VDUXMaPvA3gui2407UJBBZizxV_xou2SR8lwXw_ZV9Gv8L6VOcM61bEB8LqwCv6nZ2FxzpZ8QqzwlAkW1gF9uODIc-cPX1O3iZMtSZ0s81f";3.6;"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']";59;"1025 Ashford Avenue, San Juan"
"OPERATIONAL";18.465577;-66.115363;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Carthage Express";"ChIJGy5tLsduA4wRSpnmMq335Uc";1.0;"ATtYBwIwA7t75xdjOoWVZpvOYvSnglsKOTmWXW8mICFv6CyEqlZ2SLnrQYZqoVBrlaV2pJBgHTtiChx_x-kUbtunGqpjQtjY8COoWPKvSTlHWjsqx1PrWjIkUIJS9cwJaBfDnGtQfllUuMHYWiXp20qQEwGplTehMwmAnOpJIYEzSL-VqipD";4.6;"['restaurant', 'food', 'point_of_interest', 'establishment']";387;"201b Calle San Justo, San Juan"
"OPERATIONAL";18.4443928;-66.0664316;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"SUBWAY®Restaurants";"ChIJtaqqqrVoA4wRsJ6uMzg0_So";1.0;"ATtYBwJOHmKSm52uDU4C6M_EHZdG0htZeWxEcnN6KTXbBynoLZTJqbQIRRiLvDpXcv3YN7EpeJ_0nbn7iiy3M2Bf-1BLhhPVgng_sJFCKUVXhwin1I4r4ArF-jrKvaDT0yzm-AChugy8CEQ1yK4J4iH6a7s8d3a9RBPi-_nLoVEL6NdLx-Ht";4.1;"['restaurant', 'food', 'point_of_interest', 'establishment']";16;"Julio Bogoricin Bldg, Ground Floor, 1606 Ponce De Leon Ave, Santurce"
"OPERATIONAL";18.4573373;-66.0736062;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Solera";"ChIJowSSviRvA4wROdzjoThPH_k";0.0;"ATtYBwKIJYvNbt2_-XAOpwXYE5x-paQMI9LWKGwF4dPZAT7bTv-zVZq7PZuJn0nIk2_rN3sldvb08ZY6wJH5R55TBvJclwGbTQYc5iZWYAXF9L95KvmG5fQsHfAq4E0IGgFGLbMGVlDz9Y6OnjCqyTLtDDNvFJwlaCgb0pSgeTqcSEDfHqGI";4.4;"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']";28;"Main Pool Area, 1077 Avenida Ashford, San Juan"
"CLOSED_TEMPORARILY";18.4646866;-66.1065691;"https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png";"Coci Arte Bistro & Bar";"ChIJBRKQqMRuA4wRfBdrWmoBE6E";0.0;"ATtYBwIMhblf9nOWIO1Nnu-p21d1EnYXihQRqUvyJUXFMDhzJSQvSGgyU5Bg70uWNrfGPQBvYwTHcVuGjB4HcyIEcqk4VdWLTLTApErdcFk6c8jTdAzAFtUVLuZLCBjzW0zi0veetkPKnq0-BpQ8yXJqacmv8Bih-bRKMld_WqmLML3P8OBR";5.0;"['restaurant', 'food', 'point_of_interest', 'establishment']";23;"100 Calle Marina, San Juan"
